model,macro_f1,accuracy
ExtraTrees,0.7996571380492629,0.8555555555555555
XGB,0.785737684879599,0.8444444444444444
RF,0.7673446627998478,0.8333333333333334
LDA,0.7589556037831899,0.8
GradBoost,0.7583310147559148,0.8222222222222222
AdaBoost,0.7568098690210902,0.8
LinearSVM,0.7433998100664767,0.7777777777777778
LogReg,0.7325087728867797,0.7666666666666667
DecisionTree,0.6882078791178149,0.7333333333333333
Ridge,0.6265179265179265,0.7222222222222222
KNN,0.6203228869895536,0.7555555555555555
RBF-SVM,0.5975432446020682,0.7666666666666667
NaiveBayes,0.5307085959110668,0.5777777777777777
QDA,0.4196174196174196,0.6333333333333333
